"uri","label"
NULL,"best4soil, database, hostplant, soilborne pathogen, nematode, field crop, vegetable, green manure, cover crop"
NULL,"green manure"
NULL,"hostplant"
NULL,"nematode"
NULL,"best4soil"
NULL,"vegetable"
NULL,"cover crop"
NULL,"soilborne pathogen"
NULL,"database"
NULL,"soil mapping"
NULL,"fraxinus excelsior"
NULL,"tree disease"
NULL,"forests"
NULL,"united kingdom"
NULL,"woodland"
NULL,"loss on ignition"
NULL,"hymenoscyphus fraxineus"
NULL,"research article"
NULL,"plant diseases"
NULL,"ocean engineering"
NULL,"living lab, agroecology"
NULL,"tc1501-1800"
NULL,"agroecology transition"
NULL,"research infrastructure"
NULL,"living labs"
NULL,"horizon2020"
NULL,"agroeclogy"
NULL,"agroecology network"
NULL,"02 engineering and technology"
NULL,"0210 nano-technology"
NULL,"7. clean energy"
NULL,"support vector machine"
NULL,"data ownership"
NULL,"data sharing"
NULL,"multivariate regression"
NULL,"graphical model"
NULL,"neural network"
NULL,"semantics"
NULL,"including description"
NULL,"environmental sciences (social aspects to be 507)"
NULL,"fluorocarbons"
NULL,"sorbent"
NULL,"sewage"
NULL,"pfas"
NULL,"wood"
NULL,"chemistry"
NULL,"alkanesulfonic acids"
NULL,"other forestry and forest sciences"
NULL,"charcoal"
NULL,"column tests"
NULL,"environmental chemistry"
NULL,"waste-based biochar"
NULL,"high-throughput sequencing"
NULL,"enzymatic activity"
NULL,"q наука (загальне)"
NULL,"s сільське господарство (загальне)"
NULL,"technology"
NULL,"t"
NULL,"biofuel; biomass; supply chain; optimization; mobile; miscanthus; fast pyrolysis; logistics"
NULL,"biofuel"
NULL,"miscanthus"
NULL,"mobile"
NULL,"optimization"
NULL,"supply chain"
NULL,"enzymatic analysis"
NULL,"take urgent action to combat climate change and its impacts"
NULL,"lichens"
NULL,"climate change"
NULL,"publications"
NULL,"bryophytes"
NULL,"biological soil crusts"
NULL,"cyanobacteria"
NULL,"virtual"
NULL,"global environmental change"
"http://metadata.un.org/sdg/13",NULL
NULL,"desert climate"
NULL,"ecosystem"
NULL,"biocrusts"
"http://metadata.un.org/sdg/15",NULL
NULL,"910"
NULL,"agroforestry"
NULL,"soil management practices"
NULL,"nematic liquid crystals"
NULL,"liquid crystals"
NULL,"homogenization"
NULL,"general theory of rotating fluids"
NULL,"approximation methods"
NULL,"pdes in connection with fluid mechanics"
NULL,"530"
NULL,"homogenization in context of pdes; pdes in media with periodic structure"
NULL,"colloidal suspensions"
NULL,"homogenization applied to problems in fluid mechanics"
NULL,"numerical methods"
NULL,"statistical mechanics of random media, disordered materials (including liquid crystals and spin glasses)"
NULL,"nanoparticle"
NULL,"science"
NULL,"q"
NULL,"gold"
NULL,"stability"
NULL,"540"
NULL,"contrast"
NULL,"543"
NULL,"x-ray"
NULL,"earth science"
NULL,"organic-matter dynamics"
NULL,"550"
NULL,"sciences de l’environnement & écologie"
NULL,"qh301 biology"
NULL,"knowledge management"
NULL,"physical geography and environmental geoscience"
NULL,"sciences de la terre"
NULL,"anzsrc::3707 hydrology"
NULL,"drought severity index"
NULL,"synthetic-aperture radar"
NULL,"anzsrc::4106 soil sciences"
NULL,"sdg 13 - climate action"
NULL,"0503 soil sciences"
NULL,"ground-penetrating radar"
NULL,"integration of knowledge"
NULL,"life sciences"
NULL,"anzsrc::050399 soil sciences not elsewhere classified"
NULL,"physical sciences"
NULL,"water resources"
NULL,"knowledge and experience"
NULL,"knowledge integration"
NULL,"570"
NULL,"diffuse-reflectance spectroscopy"
NULL,"environmental engineering"
NULL,"physique, chimie, mathématiques & sciences de la terre"
NULL,"scientific discipline"
NULL,"0703 crop and pasture production"
NULL,"data assimilation"
NULL,"physical, chemical, mathematical & earth sciences"
NULL,"anzsrc::0503 soil sciences"
NULL,"science disciplines"
NULL,"pedotransfer functions"
NULL,"feedback mechanisms"
NULL,"modélisation"
NULL,"science & technology"
NULL,"anzsrc::080110 simulation and modelling"
NULL,"sciences de la terre & géographie physique"
NULL,"root water-uptake"
NULL,"observation and measurement"
NULL,"digital elevation model"
NULL,"quality of predictions"
NULL,"saturated-unsaturated flow"
NULL,"arbuscular mycorrhizal fungi"
NULL,"sciences du sol"
NULL,"hydraulic-properties"
NULL,"agriculture"
NULL,"4106 soil sciences"
NULL,"organic-matter"
NULL,"sdg 13 – maßnahmen zum klimaschutz"
NULL,"sciences du vivant"
NULL,"uncertainty analysis"
NULL,"0406 physical geography and environmental geoscience"
NULL,"life sciences & biomedicine"
NULL,"crop and pasture production"
NULL,"101028 mathematical modelling"
NULL,"international soil modeling consortium"
NULL,"[sdu.stu]sciences of the universe [physics]/earth sciences"
NULL,"environmental sciences & ecology"
NULL,"ecosystems"
NULL,"climate models"
NULL,"qh301"
NULL,"life science"
NULL,"sediment transport models"
NULL,"data integration"
NULL,"approche ecosystémique"
NULL,"info:eu-repo/classification/ddc/550"
NULL,"3707 hydrology"
NULL,"earth and environmental sciences"
NULL,"soil sciences"
NULL,"earth sciences"
NULL,"earth sciences & physical geography"
NULL,"101028 mathematische modellierung"
NULL,"environmental sciences"
NULL,"root water-uptake, sediment transport models, diffuse-reflectance spectroscopy, arbuscular mycorrhizal fungi, multiple ecosystem services, saturated-unsaturated flow, ground-penetrating radar, synthetic-aperture radar, digital elevation model, organic-matter dynamics."
NULL,"0208 environmental biotechnology"
NULL,"long-term soil archives"
NULL,"soc modeling and mapping"
NULL,"regression kriging"
NULL,"ejp soil"
NULL,"probefield"
NULL,"interpolated spectra"
NULL,"ejpsoil"
NULL,"machine learning"
NULL,"uncertainty"
NULL,"ta1-2040"
NULL,"engineering (general). civil engineering (general)"
NULL,"root volume"
NULL,"sandy loam"
NULL,"s"
NULL,"<i>cambisol</i>"
NULL,"loam"
NULL,"root length density"
NULL,"field experimentation"
NULL,"carbon sequestration"
NULL,"biochar"
NULL,"carbon use efficiency"
NULL,"digestate"
NULL,"compost"
NULL,"carbon farming"
NULL,"4. education"
NULL,"field soil reflectance"
NULL,"field protocol"
NULL,"field spectral harmonization"
NULL,"filed soil spectral library"
NULL,"0401 agriculture, forestry, and fisheries"
NULL,"04 agricultural and veterinary sciences"
NULL,"metabolite"
NULL,"humic substances"
NULL,"qe1-996.5"
NULL,"life"
NULL,"qh501-531"
NULL,"qh540-549.5"
NULL,"field experiment"
NULL,"candy"
NULL,"daisy"
NULL,"seepage"
NULL,"lysimeter"
NULL,"model ensemble"
NULL,"swap"
NULL,"apex"
NULL,"yield"
NULL,"ascomycetes"
NULL,"basidiomycetes"
NULL,"mitosporic fungi"
NULL,"soil use"
NULL,"serena ejpsoil; d3.4; wp3; task 3.3; estonia; net ecosystem productivity; nep; ghg; scenarios; rcp"
NULL,"sustainable agriculture"
NULL,"hydrology"
NULL,"definitions"
NULL,"[sdv.sa.agro] life sciences [q-bio]/agricultural sciences/agronomy"
NULL,"[sdv.sa.sds] life sciences [q-bio]/agricultural sciences/soil study"
NULL,"soil-based ecosystem services' bundles"
NULL,"eu"
NULL,"soil-based ecosystem services and soil threats' bundles"
NULL,"subsoils"
NULL,"isotopes"
NULL,"priming"
NULL,"soil carbon"
NULL,"leaching"
NULL,"soil profile"
NULL,"acetamides"
NULL,"metabolites"
NULL,"meigen"
NULL,"serena ejpsoil/grant n 862695/deliverable number 1_2/wp1/task1_2"
NULL,"complex diptera"
NULL,"observatoire des sols,europe"
NULL,"species diptera"
NULL,"revision"
NULL,"xas spectroscopy"
NULL,"reference compounds"
NULL,"mountains"
NULL,"rusle"
NULL,"soil based ecosystem service"
NULL,"ireland"
NULL,"remote sensing"
NULL,"data manipulation"
NULL,"mesofauna"
NULL,"qbs data template"
NULL,"sentinel 1, backscattering coefficient, vv co-polarization, vh cross-polarization, soil moisture"
NULL,"environmental sciences related to agriculture and land-use"
NULL,"333"
NULL,"[sde] environmental sciences"
NULL,"gaz à effect de serre"
NULL,"greenhouse gases"
NULL,"carbon storage"
NULL,"fertilization"
NULL,"nitrous oxide"
NULL,"weeds"
NULL,"faircarbon"
NULL,"adventices"
NULL,"fertilisation"
NULL,"protoxyde d'azote"
NULL,"effect size"
NULL,"organic matter inputs"
NULL,"pedoclimatic characteristics"
NULL,"630"
NULL,"climate change mitigation"
NULL,"diversification"
"http://aims.fao.org/aos/agrovoc/c_27870",NULL
NULL,"f08 - systèmes et modes de culture"
"http://aims.fao.org/aos/agrovoc/c_27938",NULL
NULL,"plante de couverture"
NULL,"cycle de l'azote"
"http://aims.fao.org/aos/agrovoc/c_36669",NULL
NULL,"efficacité d'utilisation de l?azote"
"http://aims.fao.org/aos/agrovoc/c_10795",NULL
"http://aims.fao.org/aos/agrovoc/c_1936",NULL
NULL,"agroécosystème"
NULL,"engrais minéral"
"http://aims.fao.org/aos/agrovoc/c_92381",NULL
"http://aims.fao.org/aos/agrovoc/c_fd20296f",NULL
NULL,"[sde]environmental sciences"
"http://aims.fao.org/aos/agrovoc/c_2344",NULL
NULL,"f04 - fertilisation"
NULL,"sentinel 1, backscattering coefficient, vv co-polarization, vh cross-polarization"
NULL,"1"
NULL,"meta-analysis"
NULL,"eu soil mission"
NULL,"330"
NULL,"eu soil mission ; soil health objectives ; land use ; meta-analysis ; dpsir"
NULL,"dpsir"
NULL,"soil health objectives"
NULL,"data article"
NULL,"europe"
NULL,"knowledge gaps"
NULL,"male"
NULL,"sciences sociales & comportementales, psychologie"
NULL,"social & behavioral sciences, psychology"
NULL,"regional & inter-regional studies"
NULL,"human geography & demography"
NULL,"etudes régionales & interrégionales"
NULL,"geographie humaine & démographie"
NULL,"precision agriculture"
NULL,"[sdv.sa.agro]life sciences [q-bio]/agricultural sciences/agronomy"
NULL,"nutrient management"
NULL,"nutrient use efficiency"
NULL,"[sdv.sa.sds]life sciences [q-bio]/agricultural sciences/soil study"
NULL,"fertilisation recommendations"
NULL,"ta1181"
NULL,"[sdv.sa.aep]life sciences [q-bio]/agricultural sciences/agriculture"
NULL,"economy and politics"
NULL,"11 ciudades y comunidades sostenibles"
NULL,"highlight"
NULL,"anaerobiosis"
NULL,"methane"
NULL,"oxidation-reduction"
NULL,"nitrites"
NULL,"strategy and management"
NULL,"pxrf"
NULL,"physics"
NULL,"qc1-999"
NULL,"biosolids"
NULL,"hand-held xrf"
NULL,"manure"
NULL,"qd1-999"
NULL,"choice behavior"
NULL,"bare soil mosaics"
NULL,"airborne gamma-ray"
NULL,"soil organic carbon; sentinel-1/2; bare soil mosaics; quantile random forest; airborne gamma-ray; digital soil mapping; uncertainty"
NULL,"sentinel-1/2"
NULL,"digital soil mapping"
NULL,"[sdu.stu] sciences of the universe [physics]/earth sciences"
NULL,"quantile random forest"
NULL,"microplastics pollution"
NULL,"natural resource economics"
NULL,"<i>carum carvi</i> l."
NULL,"multi-cropping system"
NULL,"integrated assessment"
NULL,"11 sustainable cities and communities"
NULL,"microeconomics"
NULL,"steropes"
NULL,"estonia"
NULL,"land use change"
NULL,"task 3.3"
NULL,"management change"
NULL,"d3.4"
NULL,"environmental pollution control"
NULL,"loss of diversity"
NULL,"erosion control"
NULL,"habitat for biodiversity"
NULL,"loss of soil"
NULL,"primary biomass production"
NULL,"czech republic"
NULL,"hydrological control"
NULL,"scenario analysis"
NULL,"grant n. 862695"
NULL,"waterlogging"
NULL,"serena ejpsoil"
NULL,"wp3"
NULL,"austria"
NULL,"pest and disease control"
NULL,"france"
NULL,"stakeholders consultation"
NULL,"grant n 862695"
NULL,"grant  n 862695"
NULL,"satellite"
NULL,"time series"
NULL,"harmonisation"
NULL,"standardisation"
NULL,"inspire"
NULL,"soil data"
NULL,"dynamics"
NULL,"agricultural long-term experiments"
NULL,"climate change mitigation,"
NULL,"agricultural long-term experiments,"
NULL,"organic-carbon"
NULL,"enzyme-activities"
NULL,"sdg 2 – kein hunger"
NULL,"sdg 2 - zero hunger"
NULL,"early parameters of change"
NULL,"permanganate-oxidizable carbon"
NULL,"residue management"
NULL,"fractions"
NULL,"willingness to pay"
NULL,"business"
NULL,"biological indicators"
NULL,"soil; biological indicators; conservative agriculture; climate"
NULL,"conservative agriculture"
NULL,"proximal"
NULL,"data fusion"
NULL,"precision agriculture mapping"
NULL,"electromagnetic sensors"
NULL,"cost benefit"
NULL,"sensing"
NULL,"cost analysis"
NULL,"covariates"
NULL,"germany"
NULL,"grassland"
NULL,"chile"
NULL,"environmental resource management"
NULL,"[sdv.sa]life sciences [q-bio]/agricultural sciences"
NULL,"[sdv.sa] life sciences [q-bio]/agricultural sciences"
NULL,"agroecological intensification"
NULL,"water extractable organic carbon"
NULL,"microbial biomass carbon"
NULL,"marketing"
NULL,"nitous oxide"
NULL,"n2o"
NULL,"field experiments"
NULL,"project"
NULL,"funding"
NULL,"sop"
NULL,"task1.4"
NULL,"scenarios"
NULL,"h2020"
NULL,"wp1"
NULL,"stakeholders"
NULL,"soil-based ecosystem services"
NULL,"population trend"
NULL,"protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss"
NULL,"2511.06 conservación de suelos"
NULL,"2511.04 química de suelos"
NULL,"2505.04 utilización del terreno"
NULL,"italy"
NULL,"grant  n. 862695"
NULL,"tuscany"
NULL,"serena project"
NULL,"proximal sensing"
NULL,"farmer viewpoints"
NULL,"agricultural soil management"
NULL,"q-methodology"
NULL,"farmer typology"
NULL,"earth and environmental science"
NULL,"soils and soil sciences"
NULL,"agricultural sciences"
NULL,"economics"
NULL,"social sciences"
NULL,"farming systems"
NULL,"farming systems and practices"
NULL,"forests and forest products"
NULL,"silviculture"
NULL,"agriculture, forestry, horticulture"
NULL,"geosciences"
NULL,"plastic mulch"
NULL,"toxicity"
NULL,"ddc:550"
NULL,"microplastics"
NULL,"arabidopsis"
NULL,"germination"
NULL,"plant health"
NULL,"12 producción y consumo responsable"
NULL,"solanum lycopersicum"
NULL,"seeds"
NULL,"environmental toxicology"
NULL,"plastics"
NULL,"water pollutants, chemical"
NULL,"plastic additives"
NULL,"0211 other engineering and technologies"
NULL,"middle aged"
NULL,"microbial diversity"
NULL,"plastisphere"
NULL,"core bacteria"
NULL,"agricultural fields"
NULL,"polyesters"
NULL,"biodegradation, environmental"
NULL,"polyethylene"
NULL,"oligochaeta"
NULL,"microplastic pollution in marine and terrestrial environments"
NULL,"[spi] engineering sciences [physics]"
NULL,"0207 environmental engineering"
NULL,"pig manure biochar, ammonia emissions, microbial activity, nitrogen fertilization, ryegrass"
NULL,"economics, econometrics and finance"
NULL,"ddc:600"
NULL,"composting"
NULL,"600"
NULL,"polypropylenes"
NULL,"620"
NULL,"fruit"
NULL,"microscopy, electron, scanning"
NULL,"info:eu-repo/classification/ddc/600"
NULL,"tomography, x-ray computed"
NULL,"mitigation technology"
NULL,"910 geography & travel"
NULL,"580 plants (botany)"
NULL,"550 earth sciences & geology"
NULL,"environmental health"
NULL,"priming effect"
NULL,"respirometry"
NULL,"organic amendments; carbon isotopes; c pools; respirometry; thermogravimetry; priming effect"
NULL,"carbon isotopes"
NULL,"thermogravimetry"
NULL,"organic amendments"
NULL,"c pools"
NULL,"respirometry thermogravimetry"
NULL,"14 vida submarina"
NULL,"climate mitigation"
NULL,"[sde.mcg]environmental sciences/global changes"
NULL,"c removal"
NULL,"negative emissions"
NULL,"[sde.mcg] environmental sciences/global changes"
NULL,"c sequestration"
NULL,"medicine"
NULL,"agricultural land"
NULL,"soil spatial variability"
NULL,"female"
NULL,"ta4111"
NULL,"climate-smart agriculture"
NULL,"agricultural production"
NULL,"carbon stock"
NULL,"agricultural carbon management"
NULL,"information treatment"
NULL,"sustainabilty"
NULL,"agriculture; organic amendments; dinitrogen; nitric oxide; microbial biomass; nitrification; denitrification; biochar-compost storage"
NULL,"nitric oxide"
NULL,"nitrification"
NULL,"biochar-compost storage"
NULL,"12 responsible consumption and production"
NULL,"agricultural soil"
NULL,"sustainable practices"
NULL,"500"
NULL,"13c cpmas solid-state nmr spectroscopy"
NULL,"european union policies"
NULL,"food security"
NULL,"agricultural resilience"
NULL,"biodiversity"
NULL,"adult"
NULL,"science–policy interface"
NULL,"sustainable development goals"
NULL,"soil management knowledge"
NULL,"(bio) diverse landscapes"
NULL,"science-policy interface"
NULL,"06 clean water and sanitation"
NULL,"semiarid conditions"
NULL,"sustainable agro-ecosystems"
NULL,"soil conservation; soil fertility; carbon sequestration; sustainable agro-ecosystems; semiarid conditions"
NULL,"economics and econometrics"
NULL,"certification"
NULL,"cookbook"
NULL,"[sdv.ee] life sciences [q-bio]/ecology, environment"
NULL,"rshiny"
NULL,"fos: agricultural sciences"
NULL,"visualisation tool"
NULL,"sustainable architecture"
NULL,"software"
NULL,"plastic"
NULL,"plasticulture"
NULL,"ta1172"
NULL,"sustainable soil management"
NULL,"soil policy"
NULL,"stakeholder involvement"
NULL,"soil policy highlights"
NULL,"soil use challenges"
NULL,"jp soil"
NULL,"12. responsible consumption"
NULL,"11. sustainability"
"http://aims.fao.org/aos/agrovoc/c_330982",NULL
NULL,"plant"
NULL,"triticum turgidum"
NULL,"systèmes agroforestiers"
NULL,"biomass allocation"
"http://aims.fao.org/aos/agrovoc/c_16111",NULL
NULL,"enracinement"
"http://aims.fao.org/aos/agrovoc/c_3081",NULL
"http://aims.fao.org/aos/agrovoc/c_1666",NULL
"http://aims.fao.org/aos/agrovoc/c_1301",NULL
NULL,"agroforesterie"
NULL,"black locust"
NULL,"changement climatique"
NULL,"allometry"
NULL,"biomasse souterraine"
"http://aims.fao.org/aos/agrovoc/c_363a2055",NULL
NULL,"robinia"
"http://aims.fao.org/aos/agrovoc/c_331583",NULL
NULL,"croissance"
"http://aims.fao.org/aos/agrovoc/c_207",NULL
NULL,"[sdv] life sciences [q-bio]"
NULL,"séquestration du carbone"
NULL,"carbon stocks"
"http://aims.fao.org/aos/agrovoc/c_3394",NULL
NULL,"robinia pseudoacacia"
"http://aims.fao.org/aos/agrovoc/c_6624",NULL
"http://aims.fao.org/aos/agrovoc/c_6625",NULL
"http://aims.fao.org/aos/agrovoc/c_7958",NULL
"http://aims.fao.org/aos/agrovoc/c_6649",NULL
NULL,"systematic review"
NULL,"ecosystem services, agronomic practices, soil quality indicators"
NULL,"animal manure"
NULL,"organic waste"
NULL,"sorption isotherms"
NULL,"06 agua limpia y saneamiento"
NULL,"phytoparasites"
NULL,"partial least squares"
NULL,"infrared spectroscopy"
NULL,"winter wheat"
NULL,"chlorophyll fluorescence"
NULL,"reduced tillage"
NULL,"grasslands"
NULL,"medium-term changes"
NULL,"extensive management"
NULL,"cover crops"
NULL,"particulate organic matter"
NULL,"mineral associated organic matter"
NULL,"priming effects"
NULL,"discrete choice models in economics and health care"
NULL,"food contamination"
NULL,"business, management and accounting"
NULL,"land use and land use change"
NULL,"northern agriculture"
NULL,"arctic"
NULL,"perspectives"
NULL,"fos: economics and business"
NULL,"sensores proximales"
NULL,"pls"
NULL,"ejp soil; mir; probefield; soil organic carbon; soil organic matter"
NULL,"espectroscopía mir"
NULL,"regresión de mínimos cuadrados parciales"
NULL,"soil based ecosystem services"
NULL,"multistakeholders database"
NULL,"stakeholder"
NULL,"young adult"
NULL,"soil organic carbon; sentinel-2; soil moisture; croplands; digital soil mapping; southwestern france; topographic wetness index; slaking crust sensitivity index"
NULL,"sentinel-2"
NULL,"croplands"
NULL,"southwestern france"
NULL,"topographic wetness index"
NULL,"slaking crust sensitivity index"
NULL,"humans"
NULL,"gastrointestinal microbiome"
NULL,"conceptualizing the circular economy and sustainable supply chains"
NULL,"soilbased ecosystem services"
NULL,"soil policy stakeholders"
NULL,"soil science terminology"
NULL,"610"
NULL,"ejp soil, soil indicators, soil policy stakeholders, soil science terminology, soil threats, soilbased ecosystem services, sustainable soil management"
NULL,"soil- based ecosystem services"
NULL,"discrete choice experiment"
NULL,"d700 agricultural sciences"
NULL,"d700 - agricultural sciences"
NULL,"d750 soil as an agricultural medium"
NULL,"plant culture"
NULL,"alkaline soils"
NULL,"sodic soils, alkaline soils, saline soil classification, seawater intrusion, sodicity bioremediation, leaching and drainage, agronomical practices, microbial management"
NULL,"sodicity bioremediation"
NULL,"sb1-1110"
NULL,"seawater intrusion"
NULL,"sodic soils"
NULL,"leaching and drainage"
NULL,"d750 - soil as an agricultural medium"
NULL,"biology"
NULL,"soil-based agroeological practices"
NULL,"political sciences"
NULL,"human health"
NULL,"field measurements"
NULL,"soil reflectance"
NULL,"soilpro"
NULL,"soil stable isotope"
NULL,"sustainable land management practice"
NULL,"valuation (finance)"
NULL,"carbon sequestration · modelling · carbon input · allometric function · climate change mitigation"
NULL,"[sdu.ocean]sciences of the universe [physics]/ocean"
NULL,"1000 multidisciplinary"
NULL,"multidisciplinary"
NULL,"[sdu.ocean] sciences of the universe [physics]/ocean, atmosphere"
NULL,"[sdu.envi] sciences of the universe [physics]/continental interfaces, environment"
NULL,"10122 institute of geography"
NULL,"[sdu.envi]sciences of the universe [physics]/continental interfaces"
NULL,"environment"
NULL,"14 life below water"
NULL,"magnetic resonance spectroscopy"
NULL,"spectroscopy; soil pollution; conventional synthetic and biodegradable; polymers"
NULL,"spectrum analysis, raman"
NULL,"conventional synthetic and biodegradable"
NULL,"gas chromatography-mass spectrometry"
NULL,"td172-193.5"
NULL,"spectroscopy, fourier transform infrared"
NULL,"628"
NULL,"ge1-350"
NULL,"conventional synthetic and biodegradable polymers"
NULL,"spectroscopy"
NULL,"polymers"
NULL,"qd415-436"
NULL,"microbiology"
NULL,"biochemistry"
NULL,"downstream responses"
NULL,"qr1-502"
NULL,"prevention"
NULL,"policymaking"
NULL,"microplastic contamination"
NULL,"upstream responses"
NULL,"purchasing"
NULL,"agricultural practices"
NULL,"non homeostatic behaviour"
NULL,"microbial c:n:p stoichiometry"
NULL,"p pool size"
NULL,"proximal soil sensing"
NULL,"q1 science (general) / természettudomány általában"
NULL,"spectral indices"
NULL,"deep learning"
NULL,"[info.info-lg] computer science [cs]/machine learning [cs.lg]"
NULL,"química"
NULL,"[info.info-ti] computer science [cs]/image processing [eess.iv]"
NULL,"vis-nir-swir spectroscopy"
NULL,"[sde.ie] environmental sciences/environmental engineering"
NULL,"stakeholder-wahrnehmung"
NULL,"wissenstransfer"
NULL,"landwirtschaftliche bodenbewirtschaftung"
NULL,"stakeholder perception"
NULL,"knowledge transfer"
NULL,"[sdv]life sciences [q-bio]"
NULL,"charcoal kiln site"
NULL,"collembolan diversity"
NULL,"functional trait"
NULL,"pyrogenic carbon"
NULL,"bivalvia"
NULL,"aridity"
NULL,"termite decay"
NULL,"fos: earth and related environmental sciences"
NULL,"termite distribution"
NULL,"macrotermitinae"
NULL,"fungus-growing termites"
NULL,"deadwood decomposition"
NULL,"social and behavioural sciences"
NULL,"agriculture, forestry, horticulture, aquaculture"
NULL,"modelling"
NULL,"agriculture, forestry, horticulture, aquaculture and veterinary medicine"
NULL,"environmental research"
NULL,"natural sciences"
NULL,"seafood"
NULL,"lab and field spectroscopy"
NULL,"soil spectral library (ssl)"
NULL,"ph"
NULL,"textural fractions"
NULL,"serena ejp soil"
NULL,"model"
NULL,"t3.3"
NULL,"agricultural management"
NULL,"stics"
NULL,"scenario"
NULL,"49999 earth sciences not elsewhere classified"
NULL,"fos: agriculture, forestry and fisheries"
NULL,"50301 carbon sequestration science"
NULL,"50199 ecological applications not elsewhere classified"
NULL,"fos: biological sciences"
NULL,"green house gases"
NULL,"net ecosystem productivity"
NULL,"external parameter orthogonalisation"
NULL,"soil sensors"
NULL,"proximal sensors"
NULL,"soil spectroscopy"
NULL,"epo"
NULL,"environmental science"
NULL,"long-term field experiment"
NULL,"qd241-441"
NULL,"organic chemistry"
NULL,"uv-vis"
NULL,"fluorescence"
NULL,"epr"
NULL,"nmr"
NULL,"article"
NULL,"[sde.be] environmental sciences/biodiversity and ecology"
NULL,"vineyard soil quality"
NULL,"inter-row management"
NULL,"management intensity"
NULL,"alternating management"
NULL,"[sde.be]environmental sciences/biodiversity and ecology"
NULL,"conservation agriculture"
NULL,"soil challenges"
NULL,"finance"
NULL,"field spectroscopy"
NULL,"ssl"
NULL,"soil spectral library"
NULL,"near infrared spectroscopy"
NULL,"microcalorimetry"
NULL,"data descriptor"
NULL,"microplastic transport"
NULL,"tp1080-1185"
NULL,"sediment monitoring"
NULL,"polymers and polymer manufacture"
NULL,"consumer behavior"
NULL,"survey"
NULL,"nep"
NULL,"ghg"
NULL,"modis"
NULL,"water management"
NULL,"nitrogen leaching"
NULL,"ch4"
NULL,"cropping systems"
NULL,"sommit"
NULL,"triboelectric nanogenerators"
NULL,"soil organic carbon concentration"
NULL,"belgium"
NULL,"grant  n 862695"
NULL,"d3.3/ wp3/ task 3.2"
NULL,"flanders"
NULL,"socloss"
NULL,"belgium (flanders)"
NULL,"aerial images"
NULL,"photointerpretation"
NULL,"rusle model"
NULL,"sediments"
NULL,"surface waters"
NULL,"pharmaceuticals"
NULL,"spatial distribution"
NULL,"industrial compounds"
NULL,"national soil survey"
NULL,"connectivity"
NULL,"experimental plots"
NULL,"nutrients"
NULL,"sediment transport"
NULL,"buffer strip"
NULL,"straw incorporation"
NULL,"ley farming"
NULL,"pedoclimatic gradient"
NULL,"o-cue"
NULL,"18 o-cue"
NULL,"microbial physiology"
NULL,"pyrogenic carbon capture and storage"
NULL,"pyrogenic carbonaceous material"
NULL,"carbon sink certification"
NULL,"black carbon"
NULL,"monitoring"
NULL,"carbon dioxide removal"
NULL,"carbon stock changes"
NULL,"580"
NULL,"agricultural"
NULL,"life on land"
NULL,"forestry sciences"
NULL,"veterinary and food sciences"
NULL,"biological sciences"
