Label,Count,Remarks
"[sdu.envi] sciences of the universe [physics]/continental interfaces, environment",14,
14. life underwater,14,
kavitacija,14,
argentina,13,
thailand,13,
bmgf-aws,13,
g,13,
geography. anthropology. recreation,13,
chronosequence,13,
dry farming,13,
snow,13,
0101 mathematics,13,
research,13,
agriculture and food sciences,13,
earth system science,13,
leerstoelgroep aardsysteemkunde,13,
co2,13,
malaysia,13,
solubility,13,
agronomy & agriculture,13,
"[sdv.sa.sf]life sciences [q-bio]/agricultural sciences/silviculture, forestry",13,
cerrado,13,
arbuscular mycorrhizal fungi,13,
[sdu.stu.hy]sciences of the universe [physics]/earth sciences/hydrology,13,
geotechnical engineering,13,
geosciences,13,
0904 chemical engineering,13,
uncertainty,13,
570 life sciences; biology,13,
michigan,13,
qk1-989,13,
mitigation,13,
terrestrial ecology,13,
symbiosis,13,
ing-ind/22 scienza e tecnologia dei materiali,13,
116 chemical sciences,13,
life sciences & biomedicine,12,
biomassa microbiana,12,
soil projects data,12,
digestion,12,
peru,12,
ecuador,12,
water supply,12,
latin america,12,
global farming systems study,12,
moisture,12,
particle size,12,
[sde.ie]environmental sciences/environmental engineering,12,
cifa technical paper 32,12,
fos: mathematics,12,
salinity,12,
botswana,12,
fractionation,12,
altitude,12,
warming,12,
ta,12,
k10 - production forestière,12,
quociente metabólico,12,
green manure,12,
fresh water,12,
"[sdu.ocean]sciences of the universe [physics]/ocean, atmosphere",12,
plant stomata,12,
0203 mechanical engineering,12,
soil tillage,12,
renewable energy sources,12,
competition,12,
lignin,12,
evolution,12,
plant diseases,11,
antioxidants,11,
malaprabha sub-basin,11,
water movements,11,
meteorology,11,
/dk/atira/pure/sustainabledevelopmentgoals/responsible_consumption_and_production; name=sdg 12 - responsible consumption and production,11,
awash basin,11,
costa rica,11,
ghataprabha sub-basin,11,
k3 sub-basin,11,
k2 sub-basin,11,
middle krishna sub-basin,11,
eddy covariance,11,
genomics,11,
sri lanka,11,
mathematics,11,
matéria orgânica,11,
agricultural and veterinary sciences,11,
[sdv.ida]life sciences [q-bio]/food engineering,11,
qualifizierung,11,
nitrogen isotopes,11,
invertebrates,11,
nitrogen deposition,11,
020801 environmental engineering,11,
02080101 hydrology/water and the environment,11,
soil science centre,11,
alterra - centrum bodem,11,
"management, monitoring, policy and law",11,
machine learning,11,
lcsh:s,11,
monitoring,11,
[sdu.stu.hy] sciences of the universe [physics]/earth sciences/hydrology,11,
isoprene,11,
leaf area index,11,
bepress|engineering,11,
engrxiv|engineering,11,
laboratorium voor bodemkunde en geologie,11,
laboratory of soil science and geology,11,
humidity,11,
tj807-830,11,
plant extracts,11,
article subject,11,
earth and planetary astrophysics (astro-ph.ep),11,
astrophysics - earth and planetary astrophysics,11,
satellite,11,
ecological metrics,11,
european commission,11,
united states,11,
barley,10,
k4 sub-basin,10,
copescal technical paper 10,10,
anaerobic digestion,10,
et,10,
cent afr rep,10,
wildfires,10,
[sde.be] environmental sciences/biodiversity and ecology,10,
[spi.gproc]engineering sciences [physics]/chemical and process engineering,10,
muvumba,10,
wapor_2_continental,10,
ecosystems agroecology,10,
lactic acid bacteria,10,
afforestation,10,
lcsh:plant ecology,10,
lcsh:qk900-989,10,
qk900-989,10,
oceanography,10,
yemen,10,
phenols,10,
forest ecology,10,
cereals,10,
engineering and technology,10,
computational biology,10,
ddc:570,10,
01060304 pollination/angiosperms,10,
571,10,
metabolic quotient,10,
sdg 7 - affordable and clean energy,10,
structural health monitoring,10,
acer,10,
"polymorphism, restriction fragment length",10,
straw,10,
morocco,10,
0913 mechanical engineering,10,
[sdu.stu] sciences of the universe [physics]/earth sciences,10,
organisms,10,
lcsh:ge1-350,10,
lcsh:environmental sciences,10,
"agricultura, silvicultura y pesca",10,
577,10,
rangeland,10,
edaphology,10,
910 geography & travel,10,
zankalon,10,
succession,10,
portugal,10,
organic-matter dynamics,10,
pinus ponderosa,10,
liquefaction,10,
genetic variation,10,
atividade microbiana,10,
hordeum,10,
civil engineering,10,
synthetic biology,10,
pseudomonas putida,9,
beta-glucosidase,9,
european soil database and soil properties,9,
oxidative stress,9,
irrigated farming,9,
latin america and the caribbean,9,
office du niger,9,
senegal delta,9,
koga,9,
busia,9,
corn,9,
dietary supplements,9,
lolium,9,
animal nutritional physiological phenomena,9,
zoology,9,
mexico,9,
fertility,9,
gezira,9,
awash,9,
evolutionary biology,9,
stomatal conductance,9,
nitrogen mineralization,9,
mongolia,9,
physical geography,9,
"dna, ribosomal",9,
"renewable energy, sustainability and the environment",9,
winter wheat,9,
agrochemicals,9,
peatland,9,
qualidade do solo,9,
ddc:,9,
cowpea,9,
wadden sea,9,
physiology,9,
alaska,9,
phenology,9,
"geosciences, multidisciplinary",9,
multidisciplinary,9,
finland,9,
engrxiv|engineering|civil and environmental engineering,9,
bepress|engineering|civil and environmental engineering,9,
"gene expression regulation, plant",9,
random allocation,9,
10127 institute of evolutionary biology and environmental studies,9,
590 animals (zoology),9,
carbohydrates,9,
[sde.es]environmental sciences/environment and society,9,
gis,9,
wp3,9,
climate impact,9,
bekaa,9,
1111 soil science,9,
carbon sink,9,
yanze,9,
picea,9,
iraq,9,
jordan,9,
jordan basin,9,
litani basin,9,
niger basin,9,
nile basin,9,
palestine,9,
syrian arab republic,9,
wapor_2_national,9,
metagenome,9,
sorghum,9,
permafrost,9,
natural sciences,9,
polyphenols,9,
minnesota,9,
integrated weed management,9,
engineering sciences. technology,9,
tp248.13-248.65,9,
articles,9,
cellulose,9,
ec,9,
[sdu.stu.pl]sciences of the universe [physics]/earth sciences/planetology,9,
california,9,
polyhydroxyalkanoates,9,
waste management,9,
soil enzymes,8,
brandenburg,8,
performance,8,
eukaryota,8,
base flow,8,
administrative units,8,
microbial population biology,8,
israel,8,
litani river basin,8,
milk,8,
edible grain,8,
renewable energy,8,
global forest drought response and climate change,8,
poultry,8,
plfa,8,
regression analysis,8,
long-term,8,
rotation,8,
tropical forest,8,
nicaragua,8,
communities,8,
long-term experiment,8,
waste management and disposal,8,
sol,8,
impact sur l'environnement,8,
qd chemistry,8,
lower akagera,8,
root biomass,8,
sunlight,8,
priming effect,8,
boreal forest,8,
[sdv.sa.agro]life sciences [q-bio]/agricultural sciences/agronomy,8,
species richness,8,
710,8,
wildfire,8,
0902 automotive engineering,8,
computer science,8,
farming systems,8,
species composition,8,
salt marsh,8,
animal science,8,
f07 - façons culturales,8,
[sde.es]environmental sciences/environmental and society,8,
lcsh:technology,8,
lcsh:t,8,
p01 - conservation de la nature et ressources foncières,8,
hemiterpenes,8,
butadienes,8,
ge environmental sciences,8,
geophysics,8,
gaz à effet de serre,8,
lca,8,
630,8,
malwathu oya west sub catchment,8,
triticum aestivum,8,
south africa,8,
deep learning,8,
gene expression,8,
690,8,
switzerland,8,
arthropods,8,
xylem,8,
tropical soil,8,
biorefinery,8,
carbon dynamics in peatland ecosystems,8,
civil and structural engineering,8,
wastewater treatment,8,
010502 geochemistry & geophysics,8,
farm nutrient management,8,
h2020,8,
0601 history and archaeology,8,
06 humanities and the arts,8,
civil and environmental engineering,8,
"[sdv.bid.spt]life sciences [q-bio]/biodiversity/systematics, phylogenetics and taxonomy",8,
[sdv.bv.bot]life sciences [q-bio]/vegetal biology/botanics,8,
protein,8,
ddc:910,8,
pesticides,8,
fruit,8,
vitis,8,
models,8,
01050409 remote sensing/satellite imagery,8,
environmental sciences & ecology,7,
ciencias de la tierra y relacionadas con el medio ambiente,7,
enzimas do solo,7,
wias,7,
data assimilation,7,
gaez v4_theme1,7,
elevation and terrain slopes,7,
eta,7,
soil point data,7,
asia,7,
"[sdv.ee] life sciences [q-bio]/ecology, environment",7,
general environmental science,7,
chad,7,
tropics,7,
small-scale farming,7,
sdg 14 - life below water,7,
microbial communities,7,
nature and landscape conservation,7,
archaeology,7,
530,7,
life on land,7,
origin,7,
zn,7,
long-term experiments,7,
wp5,7,
n2o,7,
florida,7,
agronomic ecology,7,
tag_solaw,7,
lactuca,7,
isotopes,7,
evapotranspiration from precipitation,7,
/dk/atira/pure/sustainabledevelopmentgoals/climate_action; name=sdg 13 - climate action,7,
halophytes,7,
lupinus,7,
azote,7,
reduced tillage,7,
crop rotations,7,
hydrology (agriculture),7,
biogeochemical cycling of nutrients in aquatic ecosystems,7,
580 plants (botany),7,
physical geography and environmental geoscience,7,
meteorology & atmospheric sciences,7,
australia,7,
pathology,7,
vegetation (pathology),7,
biodiesel,7,
sdg 15 - life on land,7,
[sdv] life sciences [q-bio],7,
pinus sylvestris,7,
bioindicators,7,
stockage,7,
phosphoric monoester hydrolases,7,
nitrate leaching,7,
settore agr/02 - agronomia e coltivazioni erbacee,7,
ammonia volatilization,7,
climate change impacts and adaptation,7,
primary research articles,7,
540,7,
escherichia coli,7,
physics - applied physics,7,
applied physics (physics.app-ph),7,
facilitation,7,
nutrition,7,
otras ciencias biológicas,7,
air and water emissions,7,
earth and environmental science,7,
environmental research,7,
carbono da biomassa microbiana,7,
fagus,7,
salt-marsh,7,
abscisic acid,7,
computer simulation,7,
chemical fractionation,7,
real-time polymerase chain reaction,7,
precision agriculture,7,
water pollution,7,
earth observation,7,
animal science and zoology,7,
hydrolysis,7,
[sdv.ee.eco]life sciences [q-bio]/ecology,7,
environment/ecosystems,7,
methane emissions,7,
cluster analysis,7,
metabolic engineering,7,
579,7,
geography & travel,7,
01060605 seeds/plant reproduction,7,
[sdu.astr.ep]sciences of the universe [physics]/astrophysics [astro-ph]/earth and planetary astrophysics [astro-ph.ep],7,
hawaii,7,
550 - earth sciences,7,
600,7,
quartz,7,
bacterial physiological phenomena,7,
ta715-787,7,
earthwork. foundations,7,
01060203 pollination/beekeeping,7,
"fatty acids, volatile",7,
adubação nitrogenada,7,
solanum tuberosum,7,
silver,7,
grain yield,7,
aluminum silicates,7,
genotype,7,
colombia,6,
original article,6,
particulate organic matter,6,
acid phosphatase,6,
hmw,6,
proteinz,6,
bread quality,6,
gluten,6,
grain storage protein,6,
hordein,6,
meta-barcode sequencing of bacterial community,6,
quantification of bacterial inoculant,6,
rhizosphere soil,6,
animal nutrition,6,
diervoeding,6,
hydrogen peroxide,6,
all subjects,6,
n,6,
miscanthus,6,
west africa,6,
earth and planetary sciences,6,
ivory coast,6,
dsmw,6,
pond,6,
nitrogen fertilizer,6,
honduras,6,
zimbabwe,6,
physiographic features,6,
genetica,6,
kazakhstan,6,
transport,6,
lcsh:qr1-502,6,
lcsh:microbiology,6,
"dna, archaeal",6,
plant biomass,6,
adaptation,6,
patterns,6,
stratigraphy,6,
soil warming,6,
plant growth and development,6,
savanna,6,
veterinary and food sciences,6,
electrical engineering - electronic engineering - information engineering,6,
650,6,
ch4,6,
genome,6,
algorithms,6,
nirk,6,
croissance,6,
availability,6,
cereal crops,6,
riverbank filtration,6,
combustion,6,
leerstoelgroep land degradatie en ontwikkeling,6,
land degradation and development,6,
togo,6,
life-cycle assessment,6,
pig slurry,6,
cb - bodemkwaliteit en nutriënten,6,
organic-carbon,6,
ss - soil quality and nutrients,6,
biodiversity change,6,
temperate forest,6,
fine roots,6,
td environmental technology. sanitary engineering,6,
interception,6,
faba bean,6,
acclimatization,6,
phenotype,6,
ondergrond,6,
stoichiometry,6,
[sdu.astr]sciences of the universe [physics]/astrophysics [astro-ph],6,
net primary production,6,
take urgent action to combat climate change and its impacts,6,
"engineering, chemical",6,
energy & fuels,6,
chemical,6,
thermodynamics,6,
biological control,6,
wp4,6,
pastagem,6,
incremental evapotranspiration,6,
geochemistry and petrology,6,
"p36 - érosion, conservation et récupération des sols",6,
italy,6,
geophysics (physics.geo-ph),6,
physics - geophysics,6,
microbial consortia,6,
organic amendments,6,
lcsh:sd1-669.5,6,
lcsh:forestry,6,
mass spectrometry,6,
rhodococcus,6,
sub-saharan africa,6,
settore agr/13 - chimica agraria,6,
10122 institute of geography,6,
elevated atmospheric co2,6,
institut für biochemie und biologie,6,
quaternary ammonium compounds,6,
resilience,6,
soil sciences,6,
td194-195,6,
environmental effects of industries and plants,6,
tree,6,
oxygen consumption,6,
plant diversity,6,
isoprene monooxygenase,6,
mycorrhiza,6,
linear models,6,
quociente microbiano,6,
biomassa,6,
densidade do solo,6,
zero tillage,6,
wildlife ecology and conservation,6,
tillage systems,6,
crop combinations and interactions,6,
demography,6,
food industry,6,
weed control,6,
forecasting,6,
biogas,6,
knowmad institut,6,
behavior,6,
denaturing gradient gel electrophoresis,6,
food microbiology,6,
fallow,6,
nitrous-oxide emissions,6,
high-throughput sequencing,6,
desiccation,6,
[sdv.bid.spt]life sciences [q-bio]/biodiversity/systematics,6,
molecular biology,6,
phylogenetics and taxonomy,6,
atmospheric carbon-dioxide,6,
geotechnical engineering and engineering geology,6,
conservation science,6,
info:eu-repo/classification/ddc/910,6,
info:eu-repo/classification/ddc/600,6,
[phys]physics [physics],6,
saccharum,6,
info:eu-repo/classification/udc/532.528(045),6,
gastrointestinal microbiome,6,
composting and manuring,6,
sustentabilidade,6,
face,6,
general materials science,6,
antibiotic resistance,6,
general medicine,6,
ge,6,
[sdu.ocean]sciences of the universe [physics]/ocean,6,
concentrated solar power,6,
national,6,
food science,6,
removal,6,
polycyclic aromatic hydrocarbons,6,
shifting cultivation,6,
economics,6,
geography (general),6,
g1-922,6,
biological control agents,5,
laboratory of nematology,5,
laboratorium voor nematologie,5,
madagascar,5,
fluorescence,5,
arid zones,5,
hydrogeology,5,
willow,5,
fossil fuels,5,
gaez v4,5,
cambodia,5,
digital soil map of the world,5,
terrastat,5,
food handling,5,
[sdu.stu.gc] sciences of the universe [physics]/earth sciences/geochemistry,5,
somalia,5,
eritrea,5,
moon,5,
monensin,5,
ql1-991,5,
simulation,5,
algeria,5,
berlin,5,
631,5,
net ecosystem exchange,5,
plant breeding,5,
edafología y química agrícola,5,
cifa technical paper 27,5,
tecnología de los alimentos,5,
austria,5,
texas,5,
carbon fibers,5,
composite number,5,
water-use efficiency,5,
atmospheric co2,5,
mongolian selenga basin,5,
naushki,5,
selenga river,5,
selenge,5,
ecological applications,5,
biofilm,5,
research and analysis methods,5,
turbulence,5,
ndas,5,
cu,5,
forestry sciences,5,
bioeconomy,5,
0206 medical engineering,5,
duurzaam bodemgebruik,5,
nosz,5,
legume,5,
mindanao island,5,
toxicity,5,
semi-arid,5,
rendement des cultures,5,
f62 - physiologie végétale - croissance et développement,5,
indicator,5,
magma ocean,5,
sphagnum,5,
upland crops,5,
physical sciences and mathematics,5,
gaez v4_theme1_agro-ecological zones,5,
agro-ecological zones,5,
ignition,5,
residues,5,
biofuel,5,
elevation,5,
monoculture,5,
ddc:630,5,
reforestation,5,
england,5,
constructed wetland,5,
lcsh:plant culture,5,
lcsh:sb1-1110,5,
matter,5,
base sequence,5,
"spores, fungal",5,
glucose,5,
culture associée,5,
chemical engineering,5,
chondrites,5,
arid,5,
downscaling,5,
rainfed agriculture,5,
aerospace engineering,5,
wind turbine,5,
sensitivity analysis,5,
microalgae,5,
forest biomass,5,
arabidopsis,5,
multifunctionality,5,
x-ray tomography,5,
paddy field,5,
grasses,5,
crop science,5,
lake tengiz,5,
nura river,5,
nura-sarysu basin,5,
sarysu river,5,
shrubland,5,
p40 - météorologie et climatologie,5,
[sdv.sa.sds] life sciences [q-bio]/agricultural sciences/soil study,5,
"dna, fungal",5,
agroforestry systems,5,
savane,5,
nitrogênio,5,
ponds,5,
calcium compounds,5,
global database,5,
mixed function oxygenases,5,
"genome, bacterial",5,
energy crops,5,
dioxyde de carbone,5,
polymers,5,
/dk/atira/pure/sustainabledevelopmentgoals/life_on_land,5,
plant communities,5,
2300 general environmental science,5,
2304 environmental chemistry,5,
[shs]humanities and social sciences,5,
sediment,5,
lgp,5,
malawi,5,
1. no poverty,5,
scots pine,5,
colorado,5,
antibiotic resistance genes,5,
soil liquefaction,5,
magnoliopsida,5,
01060307 iucn red list least concern species/holarctic fauna,5,
01060101 ecological restoration/forests,5,
"021110 strategic, defence & security studies",5,
02111002 risk analysis/actuarial science,5,
quality,5,
functional traits,5,
multivariate analysis,5,
surface soil moisture,5,
tannins,5,
590,5,
microscopy,5,
tropical soils,5,
residue management,5,
virulence,5,
west-africa,5,
cropping system,5,
impacts,5,
microbial quotient,5,
milho,5,
high-solids anaerobic digestion,5,
tillage management,5,
p34 - biologie du sol,5,
vegetation change,5,
software,5,
mechanics and transport in unsaturated soils,5,
thermal effects on soil,5,
freezing,5,
animal husbandry,5,
modis,5,
living mulch,5,
sea-level rise,5,
"models, statistical",5,
plant anatomy,5,
waste products,5,
01050201 plate tectonics/lithosphere,5,
qualidade de solo,5,
fos: computer and information sciences,5,
chromosome mapping,5,
n2o emission,5,
ingeniería civil y de la construcción,5,
natural gas pipelines,5,
steel pipelines,5,
organic,5,
bioelectrochemical systems,5,
sdg 2 - zero hunger,5,
seismic hazard,5,
whole genome sequencing,5,
responses,5,
broccoli,5,
body size,5,
methanogenesis,5,
acetic acid,5,
quantitative pcr,5,
[sdv.bio]life sciences [q-bio]/biotechnology,5,
"500 naturwissenschaften und mathematik::570 biowissenschaften; biologie::579 mikroorganismen, pilze, algen",5,
500 naturwissenschaften und mathematik::580 pflanzen (botanik)::580 pflanzen (botanik),5,
plant physiology,5,
1110 plant science,5,
stability,5,
coexistence,5,
biophysics,5,
petroleum,5,
agrosystems,5,
synthetic aperture radar (sar),5,
wind turbines,5,
avicennia,5,
mars,5,
probiotics,5,
[phys.astr]physics [physics]/astrophysics [astro-ph],5,
biological invasions,5,
partitioning,5,
ultraviolet rays,5,
comparative genomics,5,
image analysis,5,
atv farm technology,5,
actinobacteria,5,
loess,5,
"ecology, evolutionary biology",5,
systematic review,5,
"[sdu.ocean] sciences of the universe [physics]/ocean, atmosphere",5,
aging,5,
cold climate,5,
grazing intensity,5,
plantio convencional,5,
thinning,5,
signal transduction,5,
"image processing, computer-assisted",5,
biotransformation,5,
cacao,5,
disasters,5,
coffea arabica,5,
