subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score,has_definition
land use and land use change,land use,159715,,https://w3id.org/eusoilvoc#LandUse,0.852,0.9925,True
ejp soil; mir; probefield; soil organic carbon; soil organic matter,soil organic carbon,159723,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.8304,0.7034,True
soil based ecosystem services,soil environmental functions,159726,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.784,0.6472,False
soilbased ecosystem services,soil environmental functions,159740,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7556,0.6909,False
soil science terminology,soil,159742,,https://w3id.org/eusoilvoc#Soil,0.8779,0.9853,True
soil- based ecosystem services,soil environmental functions,159746,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7504,0.6459,False
saline soil classification,soil salinity,159758,,https://w3id.org/eusoilvoc#SoilSalinity,0.8035,0.6089,True
soil surface properties,soil properties,159768,,https://w3id.org/eusoilvoc#SoilProperties,0.946,0.8963,True
sustainable land management practice,land use class,159774,,https://w3id.org/eusoilvoc#LandUseClass,0.7147,0.9128,True
química,salts,159821,,https://w3id.org/eusoilvoc#Salts,0.7069,0.858,True
bulk density,bulk density mineral,159856,,https://w3id.org/eusoilvoc#BulkDensityMineral,0.7857,0.9977,True
soil organic carbon content,soil inorganic carbon,159858,,https://w3id.org/eusoilvoc#SoilInorganicCarbon,0.9367,0.9972,True
textural fractions,soil texture,159861,,https://w3id.org/eusoilvoc#SoilTexture,0.5214,0.7027,True
soil organic carbon stock,soil organic carbon,159863,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9629,0.9895,True
soil cover,land cover,159896,,https://w3id.org/eusoilvoc#LandCover,0.8861,0.7376,True
soil challenges,soil threats,159901,,https://w3id.org/eusoilvoc#SoilThreats,0.8892,0.9623,True
soil restoration,soil retention,159902,,https://w3id.org/eusoilvoc#SoilRetention,0.8428,0.7521,False
soil organic carbon concentration,soil carbon density,159927,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.8941,0.9967,True
nutrients,macronutrients,159946,,https://w3id.org/eusoilvoc#Macronutrients,0.7515,0.6714,True
subsoil compaction,soil compaction,159985,,https://w3id.org/eusoilvoc#SoilCompaction,0.6597,0.9991,True
topsoil compaction,soil compaction,159986,,https://w3id.org/eusoilvoc#SoilCompaction,0.6952,0.9985,True
"soil ecosystem services, soil threats, indicators, scenario-based, agroecosystems",soil threats,160012,,https://w3id.org/eusoilvoc#SoilThreats,0.8036,0.7167,True
preferential flow,soil preferential flow path,160039,,https://w3id.org/eusoilvoc#SoilPreferentialFlowPath,0.5073,0.8327,False
soil-based ecosystem service,soil environmental functions,160051,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7527,0.6559,False
soil erosion control,soil erosion degree,160052,,https://w3id.org/eusoilvoc#SoilErosionDegree,0.8792,0.7494,True
residue restitution,waste disposal,160055,,https://w3id.org/eusoilvoc#WasteDisposal,0.5922,0.6096,True
pollution,soil pollution,160061,,https://w3id.org/eusoilvoc#SoilPollution,0.8441,0.818,True
water-stable aggregates,percent water stable aggregation,160062,,https://w3id.org/eusoilvoc#PercentWaterStableAggregation,0.8117,0.9662,False
landwirtschaft,land use,160203,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.6765,True
biological activity,biological features,160068,,https://w3id.org/eusoilvoc#BiologicalFeatures,0.7713,0.9828,True
cropland,crop class,160075,,https://w3id.org/eusoilvoc#CropClass,0.7349,0.8416,True
forest,land use forests,160076,,https://w3id.org/eusoilvoc#LandUseForests,0.7609,0.6931,True
soil carbon storage,soil carbon density,160118,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.8772,0.9888,True
salinity,soil salinity,160323,,https://w3id.org/eusoilvoc#SoilSalinity,0.8241,0.9716,True
auxin,ions,160337,,https://w3id.org/eusoilvoc#Ions,0.6525,0.6483,True
phosphorylation,phosphorus retention,160358,,https://w3id.org/eusoilvoc#PhosphorusRetention,0.5619,0.6681,True
bodenkunde,soil,161150,,https://w3id.org/eusoilvoc#Soil,0.8329,0.8028,True
wasserbewegung,soil water movement,161151,,https://w3id.org/eusoilvoc#SoilWaterMovement,0.9551,0.8466,False
landwirtschaft,land use,161159,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.6765,True
düngung,mulching,161161,,https://w3id.org/eusoilvoc#Mulching,0.8724,0.773,True
ambiente,climate,161190,,https://w3id.org/eusoilvoc#Climate,0.8025,0.7547,True
et,ions,161213,,https://w3id.org/eusoilvoc#Ions,0.9462,0.6062,True
wms,VMC_ud,161243,,https://w3id.org/eusoilvoc#moistureContentProcedure-VMC_ud,0.4856,0.9093,True
wasserretention,soil water retention,161254,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.7949,0.8335,False
ph-wert,soil pH,161259,,https://w3id.org/eusoilvoc#SoilpH,0.7328,0.8519,True
schwermetall,cadmium total elements,161260,,https://w3id.org/eusoilvoc#CadmiumTotalElements,0.6451,0.6467,True
leaf hydraulic conductance,soil hydraulic conductivity,160438,,https://w3id.org/eusoilvoc#SoilHydraulicConductivity,0.7834,0.6117,True
wasserdurchlässigkeit,soil water potential,161267,,https://w3id.org/eusoilvoc#SoilWaterPotential,0.7897,0.7101,True
sonaravno kmetijstvo,agricultural sustainability,160475,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.8027,0.6435,False
trajnostno kmetijstvo,agricultural sustainability,160476,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9588,0.9702,False
kakovost tal,soil quality,160482,,https://w3id.org/eusoilvoc#SoilQuality,0.8967,0.9192,True
upravljanje zemljišč,land use,160483,,https://w3id.org/eusoilvoc#LandUse,0.8981,0.7304,True
soil sensing,soil,160494,,https://w3id.org/eusoilvoc#Soil,0.873,0.9448,True
it,salts,160506,,https://w3id.org/eusoilvoc#Salts,0.7842,0.6315,True
human impact,human influence class,162917,,https://w3id.org/eusoilvoc#HumanInfluenceClass,0.7341,0.9987,True
klasifikacija staništa,slope,162918,,https://w3id.org/eusoilvoc#Slope,0.5529,0.6349,True
nitrogen losses,soil nitrogen loss,160549,,https://w3id.org/eusoilvoc#SoilNLoss,0.8554,0.6478,False
air pollutants,soil pollution,160560,,https://w3id.org/eusoilvoc#SoilPollution,0.7776,0.75,True
način korišćenja zemljišta,land use,162919,,https://w3id.org/eusoilvoc#LandUse,0.9314,0.6583,True
sostanza organica del terreno,soil organic matter,160612,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.9732,0.9419,True
начин коришћења земљишта,land use,162921,,https://w3id.org/eusoilvoc#LandUse,0.9559,0.8875,True
bodenverbreitung,land cover,161316,,https://w3id.org/eusoilvoc#LandCover,0.813,0.7447,True
bodenerosionsgefährdung,soil threats,161324,,https://w3id.org/eusoilvoc#SoilThreats,0.7477,0.6108,True
habitat classification,habitats,162925,,https://w3id.org/eusoilvoc#Habitats,0.8092,0.9195,True
човеков утицај,human influence class,162928,,https://w3id.org/eusoilvoc#HumanInfluenceClass,0.7441,0.9989,True
ökologie,habitats,161341,,https://w3id.org/eusoilvoc#Habitats,0.8632,0.7934,True
subsoil,soil subsidence,161352,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5256,0.6998,False
bodenbelastung,soil productivity,161371,,https://w3id.org/eusoilvoc#SoilProductivity,0.8395,0.9191,True
nitrat,nitrogen,161391,,https://w3id.org/eusoilvoc#Nitrogen,0.9395,0.75,True
nickel,nitrogen,161398,,https://w3id.org/eusoilvoc#Nitrogen,0.5548,0.9715,True
surveillance des sols,soil sealing,162948,,https://w3id.org/eusoilvoc#SoilSealing,0.6934,0.6189,True
kohlenstoff,biomass,161406,,https://w3id.org/eusoilvoc#Biomass,0.6686,0.6463,True
soil-texture,soil texture,161423,,https://w3id.org/eusoilvoc#SoilTexture,0.9027,0.9998,True
"water content, soil",soil moisture,161439,,https://w3id.org/eusoilvoc#SoilMoisture,0.9819,0.9999,True
basic soil properties,soil chemical properties,161442,,https://w3id.org/eusoilvoc#SoilChemicalProperties,0.9126,0.9935,True
heavy metals,cadmium total elements,160664,,https://w3id.org/eusoilvoc#CadmiumTotalElements,0.6821,0.7035,True
water pollution,soil pollution,160681,,https://w3id.org/eusoilvoc#SoilPollution,0.7463,0.8035,True
pfos,phosphorus,160717,,https://w3id.org/eusoilvoc#Phosphorus,0.7586,0.6616,True
biomass (ecology),biomass,161665,,https://w3id.org/eusoilvoc#Biomass,0.9333,0.9949,True
climate research,climate,160767,,https://w3id.org/eusoilvoc#Climate,0.8951,0.6213,True
biodegradation,soil biological degradation,160782,,https://w3id.org/eusoilvoc#SoilBiologicalDegradation,0.6569,0.798,False
soil-erosion,soil erosion,161499,,https://w3id.org/eusoilvoc#SoilErosion,0.8849,0.9997,True
nir,nitrogen,162952,,https://w3id.org/eusoilvoc#Nitrogen,0.6209,0.8531,True
temperature,climate,161518,,https://w3id.org/eusoilvoc#Climate,0.8469,0.6987,True
geophysics,physiography,161520,,https://w3id.org/eusoilvoc#Physiography,0.8162,0.9783,True
soil carbon modeling,soil carbon density,161564,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.8826,0.9006,True
meteorology & atmospheric sciences,weather,161566,,https://w3id.org/eusoilvoc#Weather,0.8325,0.62,True
soil minerals,soil mineral matter,161571,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9759,0.9347,False
py-gc/ms,pHKCl_ratio1-2.5,161572,,https://w3id.org/eusoilvoc#pHProcedure-pHKCl_ratio1-2.5,0.607,0.6973,True
radiocarbon; soil organic matter; mineral-associated organic matter; py-gc/ms; soil minerals,soil organic matter,161575,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.7237,0.7811,True
terrestrisch,termites,161465,,https://w3id.org/eusoilvoc#Termites,0.8902,0.6904,True
soiltype,soil types,161470,,https://w3id.org/eusoilvoc#SoilTypes,0.9674,0.9999,True
p33 - chimie et physique du sol,soil physical properties,162956,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.6858,0.6225,True
environmental degradation,soil degradation,161624,,https://w3id.org/eusoilvoc#SoilDegradation,0.8212,0.8968,True
land-use,land use,161627,,https://w3id.org/eusoilvoc#LandUse,0.9591,0.9998,True
soil carbon stabilization,soil carbon density,161632,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.8468,0.6644,True
soil carbon data,soil carbon density,161633,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.9182,0.9513,True
soil bacteria,soil microfauna,161023,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9362,0.8274,True
biota,soil biota,161073,,https://w3id.org/eusoilvoc#SoilBiota,0.671,0.6616,False
sem,soil organic matter,161079,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.8769,0.6577,True
xrf,Total_xrf,161654,,https://w3id.org/eusoilvoc#totalElementsProcedure-Total_xrf,0.7692,0.9774,True
mineral soil,soil mineral matter,161683,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9686,0.9687,False
decomposition,peat decompostion,161685,,https://w3id.org/eusoilvoc#PeatDecompostion,0.6521,0.901,True
abundance,mottle abundance,161690,,https://w3id.org/eusoilvoc#MottleAbundance,0.7261,0.7878,True
soil biology,soil biological properties,161699,,https://w3id.org/eusoilvoc#SoilBiologicalProperties,0.941,0.9994,True
microfauna,soil microfauna,161708,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9369,0.685,True
wood decomposition,peat decompostion,161713,,https://w3id.org/eusoilvoc#PeatDecompostion,0.491,0.6443,True
ecological niche,habitats,161719,,https://w3id.org/eusoilvoc#Habitats,0.8921,0.6403,True
manganese deficiency,manganese exchangeable bases,161735,,https://w3id.org/eusoilvoc#ManganeseExchangeableBases,0.6701,0.9357,True
soil microhabitat,soil microfauna,161748,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9243,0.9671,True
soil organic matter fractions,soil organic matter class,161759,,https://w3id.org/eusoilvoc#SoilOrganicMatterClass,0.824,0.9389,True
soil hydraulic properties,soil hydraulic conductivity,161782,,https://w3id.org/eusoilvoc#SoilHydraulicConductivity,0.926,0.8657,True
sols,soil,162974,,https://w3id.org/eusoilvoc#Soil,0.9047,0.9441,True
land use/land cover,land use,163064,,https://w3id.org/eusoilvoc#LandUse,0.8709,0.9997,True
sand content,fine sand,163079,,https://w3id.org/eusoilvoc#FineSand,0.9187,0.9549,True
water erosion,soil erosion,161810,,https://w3id.org/eusoilvoc#SoilErosion,0.8524,0.9859,True
wind erosion,soil erosion,161814,,https://w3id.org/eusoilvoc#SoilErosion,0.6597,0.7805,True
productividad de la tierra,soil productivity,161823,,https://w3id.org/eusoilvoc#SoilProductivity,0.9573,0.926,True
soil health monitoring,soil health,161834,,https://w3id.org/eusoilvoc#SoilHealth,0.8735,0.896,True
crop classification,crop class,161838,,https://w3id.org/eusoilvoc#CropClass,0.8267,0.9999,True
degradation,soil degradation,161843,,https://w3id.org/eusoilvoc#SoilDegradation,0.8041,0.9103,True
soil microbes,soil microfauna,161845,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9525,0.9985,True
geography,geology,161857,,https://w3id.org/eusoilvoc#Geology,0.7568,0.7088,True
soil organic carbon density,soil carbon density,161872,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.9472,1.0,True
particle size distribution,particle size fraction sum,161880,,https://w3id.org/eusoilvoc#ParticleSizeFractionSum,0.7479,0.9976,True
function,soil functions,161884,,https://w3id.org/eusoilvoc#SoilFunctions,0.5277,0.7846,True
land class,land use class,161888,,https://w3id.org/eusoilvoc#LandUseClass,0.8993,0.9996,True
soil mission,soil functions,161901,,https://w3id.org/eusoilvoc#SoilFunctions,0.8449,0.8614,True
soil health indicators,soil health,161905,,https://w3id.org/eusoilvoc#SoilHealth,0.9308,0.8136,True
atmospheric conditions,weather,161908,,https://w3id.org/eusoilvoc#Weather,0.905,0.8877,True
soil samples,soil depth sampled,161927,,https://w3id.org/eusoilvoc#SoilDepthSampled,0.9201,0.989,True
groundwater,groundwater depth,161931,,https://w3id.org/eusoilvoc#GroundwaterDepth,0.8808,0.8012,True
"soil, detection, microbial inoculants, bacteria, fungi, biofertilisers, biopesticides, microorganisms",soil microfauna,161948,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.8392,0.6441,True
long‐distance dispersal (ldd),longitudinal dispersion,162032,,https://w3id.org/eusoilvoc#LongitudinalDispersion,0.5523,0.6227,False
total organic carbon,soil total carbon,162045,,https://w3id.org/eusoilvoc#SoilTotalCarbon,0.7138,0.9946,True
soil carbon sequestration,soil carbon density,162056,,https://w3id.org/eusoilvoc#SoilCarbonDensity,0.8268,0.987,True
velikosti por,soil pore size,162074,,https://w3id.org/eusoilvoc#SoilPoreSize,0.7028,0.9447,True
ekosistem,habitats,162085,,https://w3id.org/eusoilvoc#Habitats,0.7839,0.9604,True
soil organic matter (som),soil organic matter,162086,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.9825,1.0,True
zoology,habitats,162111,,https://w3id.org/eusoilvoc#Habitats,0.7332,0.6477,True
insects,termites,162121,,https://w3id.org/eusoilvoc#Termites,0.756,0.6131,True
grain yield,crop yield,162156,,https://w3id.org/eusoilvoc#CropYield,0.7592,0.6593,True
tenebrio,slope,162255,,https://w3id.org/eusoilvoc#Slope,0.787,0.8115,True
zoologie,habitats,162272,,https://w3id.org/eusoilvoc#Habitats,0.7364,0.6757,True
zoología,habitats,162278,,https://w3id.org/eusoilvoc#Habitats,0.7448,0.823,True
meteorology,weather,162349,,https://w3id.org/eusoilvoc#Weather,0.9041,0.8487,True
phb,soil pH,162415,,https://w3id.org/eusoilvoc#SoilpH,0.6569,0.6173,True
magnetics,magnesium,162582,,https://w3id.org/eusoilvoc#Magnesium,0.4748,0.7544,True
tl1-4050,Total_tp05,162489,,https://w3id.org/eusoilvoc#totalElementsProcedure-Total_tp05,0.6629,0.7239,True
soil health assessment,soil health,163137,,https://w3id.org/eusoilvoc#SoilHealth,0.9256,0.9622,True
pentanes,termites,162638,,https://w3id.org/eusoilvoc#Termites,0.5813,0.6663,True
ddc:,OrgC_dc,162648,,https://w3id.org/eusoilvoc#carbonOrganicProcedure-OrgC_dc,0.6705,0.8278,True
porosity,soil porosity,162708,,https://w3id.org/eusoilvoc#SoilPorosity,0.7605,0.9393,True
seed priming,seedling emergence,162745,,https://w3id.org/eusoilvoc#SeedlingEmergence,0.8116,0.6803,True
grain yield,crop yield,162747,,https://w3id.org/eusoilvoc#CropYield,0.7592,0.6593,True
water content,soil moisture,162751,,https://w3id.org/eusoilvoc#SoilMoisture,0.8103,0.9903,True
siirtymämetallit,copper,162779,,https://w3id.org/eusoilvoc#Copper,0.6992,0.7777,True
mineral composition,mineral conc nature,162816,,https://w3id.org/eusoilvoc#MineralConcNature,0.7908,0.9261,True
land cover change,land use,162824,,https://w3id.org/eusoilvoc#LandUse,0.7282,0.7201,True
land use and land cover analysis,land use,162834,,https://w3id.org/eusoilvoc#LandUse,0.8608,0.9963,True
oxides,ions,162849,,https://w3id.org/eusoilvoc#Ions,0.6174,0.7066,True
metals,copper,162851,,https://w3id.org/eusoilvoc#Copper,0.7868,0.6341,True
soil ecosystems,soil environmental functions,163174,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.9092,0.6918,False
soil compounds,soil particles,163195,,https://w3id.org/eusoilvoc#SoilParticles,0.8902,0.7951,False
soil microbial community,soil microfauna,163234,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9449,0.8905,True
crops,crop class,163243,,https://w3id.org/eusoilvoc#CropClass,0.8425,0.6789,True
calcium carbonate,total carbonate equivalent,163279,,https://w3id.org/eusoilvoc#TotalCarbonateEquivalent,0.7412,0.975,True
silk,silt,163711,,https://w3id.org/eusoilvoc#Silt,0.5299,0.6996,True
cultural ecosystem services,cultural services,163326,,https://w3id.org/eusoilvoc#CulturalServices,0.8352,1.0,True
/dk/atira/pure/sustainabledevelopmentgoals/affordable_and_clean_energy; name=sdg 7 - affordable and clean energy,agricultural sustainability,163357,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.4358,0.7184,False
mineral soils,soil mineral matter,163365,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9577,0.9762,False
géologie et minéralogie,geology,163402,,https://w3id.org/eusoilvoc#Geology,0.9285,0.9662,True
температура,climate,163427,,https://w3id.org/eusoilvoc#Climate,0.8381,0.7574,True
соленость,soil salinity,163430,,https://w3id.org/eusoilvoc#SoilSalinity,0.8119,0.8481,True
iron particles,iron total elements,163440,,https://w3id.org/eusoilvoc#IronTotalElements,0.7973,0.8148,True
органические вещества,soil organic matter,163445,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.8288,0.6723,True
деградация,soil degradation,163446,,https://w3id.org/eusoilvoc#SoilDegradation,0.8237,0.7865,True
наземный углерод,soil organic carbon,163469,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.8715,0.8916,True
почвы,soil,163472,,https://w3id.org/eusoilvoc#Soil,0.9306,0.8707,True
total,Total_unk,163499,,https://w3id.org/eusoilvoc#totalElementsProcedure-Total_unkn,0.7349,0.6292,True
oden,salts,163531,,https://w3id.org/eusoilvoc#Salts,0.826,0.7302,True
"carbon, organic, total",soil total carbon,163555,,https://w3id.org/eusoilvoc#SoilTotalCarbon,0.6927,0.9916,True
climate science,climate,163565,,https://w3id.org/eusoilvoc#Climate,0.908,0.9134,True
klimatforskning,climate,163566,,https://w3id.org/eusoilvoc#Climate,0.915,0.6193,True
klimatvetenskap,climate,163569,,https://w3id.org/eusoilvoc#Climate,0.9122,0.7979,True
сброс,runoff,163572,,https://w3id.org/eusoilvoc#Runoff,0.8753,0.7764,True
"depth, water",soil depth,163608,,https://w3id.org/eusoilvoc#SoilDepth,0.8117,0.6107,True
nickel,nitrogen,163652,,https://w3id.org/eusoilvoc#Nitrogen,0.5548,0.9715,True
penetration resistance; soil protection; minimum tillage; mechanisation; european law,soil penetration resistance,163683,,https://w3id.org/eusoilvoc#SoilPenetrationResistance,0.7569,0.6817,True
sustainable agriculture intensification,agricultural sustainability,163692,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.8168,0.611,False
nitrate nitrogen,nitrogen total,163733,,https://w3id.org/eusoilvoc#NitrogenTotal,0.871,0.8139,True
"nitrogen, inorganic, dissolved/nitrogen, total dissolved ratio",nitrogen total,163734,,https://w3id.org/eusoilvoc#NitrogenTotal,0.8027,0.8469,True
"total organic carbon analyzer (toc-vcph/tnm-1), shimadzu",TotC_dc-ht-analyser,163741,,https://w3id.org/eusoilvoc#carbonTotalProcedure-TotC_dc-ht-analyser,0.5308,0.7216,True
"nitrogen, total dissolved",nitrogen total,163745,,https://w3id.org/eusoilvoc#NitrogenTotal,0.8404,0.9174,True
